campaign_code,category_raw,true_category
CMP0086,RG,Regular giving
CMP0013,Christmas appeal,Christmas appeal
CMP0018,Christmas Appeal 2024,Christmas appeal
CMP0043,SPRING,Spring appeal
CMP0126,Marathon,Events
CMP0010,Chirstmas appeal,Christmas appeal
CMP0090,,Regular giving
CMP0115,Legacy,Legacy
CMP0187,newsletter,Newsletter
CMP0102,Regular Giving,Regular giving
CMP0120,LEGACY,Legacy
CMP0131,EVENTS,Events
CMP0040,SPRING,Spring appeal
CMP0089,Reg. Giving,Regular giving
CMP0105,Gifts in Wills,Legacy
CMP0050,Spring Appeal,Spring appeal
CMP0079,Regular Giving,Regular giving
CMP0074,Donor Recruitment,Donor recruitment
CMP0108,legacy giving,Legacy
CMP0168,Corporate,Corporate
CMP0026,Xmas Appeal,Christmas appeal
CMP0179,Newsletter,Newsletter
CMP0029,,Spring appeal
CMP0036,spring appeal,Spring appeal
CMP0028,Spring Campaign,Spring appeal
CMP0030,spring appeal,Spring appeal
CMP0122,LEGACY,Legacy
CMP0143,Marathon,Events
CMP0037,spring-appeal,Spring appeal
CMP0100,Regular Giving,Regular giving
CMP0042,SPRING,Spring appeal
CMP0134,EVENTS,Events
CMP0180,newsletter,Newsletter
CMP0154,Partnerships,Corporate
CMP0164,CORP,Corporate
CMP0128,Events,Events
CMP0182,NEWS,Newsletter
CMP0157,Partnerships,Corporate
CMP0022,Christmas appeal,Christmas appeal
CMP0061,Recruitment - donors,Donor recruitment
CMP0081,Regular Giving,Regular giving
CMP0091,RG,Regular giving
CMP0082,monthly-givers,Regular giving
CMP0093,RG,Regular giving
CMP0063,,Donor recruitment
CMP0183,e-news,Newsletter
CMP0084,Reg. Giving,Regular giving
CMP0158,corporate partnership,Corporate
CMP0177,NEWS,Newsletter
CMP0066,New donor drive,Donor recruitment
CMP0057,RECRUITMENT,Donor recruitment
CMP0002,Xmas Appeal,Christmas appeal
CMP0107,Gifts in Wills,Legacy
CMP0109,legacy giving,Legacy
CMP0160,Corporate,Corporate
CMP0151,Partnerships,Corporate
CMP0077,Recruitment - donors,Donor recruitment
CMP0005,Chirstmas appeal,Christmas appeal
CMP0051,Spring Appeal,Spring appeal
CMP0035,Spring Appeal,Spring appeal
CMP0112,wills,Legacy
CMP0139,Challenge Events,Events
CMP0101,monthly-givers,Regular giving
CMP0136,Marathon,Events
CMP0078,RG,Regular giving
CMP0092,Monthly giving,Regular giving
CMP0159,Partnerships,Corporate
CMP0006,XMAS-APPEAL,Christmas appeal
CMP0124,EVENTS,Events
CMP0113,wills,Legacy
CMP0045,Spring Appeal,Spring appeal
CMP0020,XMAS-APPEAL,Christmas appeal
CMP0149,CORP,Corporate
CMP0130,Challenge Events,Events
CMP0049,spring-appeal,Spring appeal
CMP0019,christmas,Christmas appeal
