donation_id,supporter_id,donation_date,amount_gbp,campaign_code,payment_method,gift_aid,refunded
3796,1271,2025-04-09,375.0,CMP0155,Cheque,0,0
2095,694,2021-09-26,10,CMP0080,Card,0,0
11086,3588,2022-04-04,10,CMP0189,Cheque,1,0
1664,558,2025-04-13,500,CMP0095,Direct Debit,0,0
1654,555,2025-03-15,40,CMP0109,Online,1,0
2509,851,2021-12-01,30,CMP0002,Cheque,1,0
4702,1572,2024-05-10,25,CMP0093,Direct Debit,0,0
8927,2912,2021-04-13,20,CMP0165,Standing Order,0,0
1623,548,2026-01-23,250,CMP0188,Online,1,0
12226,3976,2024-03-20,7.5,CMP0135,Direct Debit,1,0
4792,1599,2024-09-11,20,CMP0102,Cash,1,0
5314,1760,2018-08-24,20,CMP0184,Online,0,0
5592,1837,2021-04-27,30.0,CMP0076,Cash,0,0
2772,943,2019-02-19,50,CMP0190,Standing Order,1,0
11585,3732,2021-12-23,30,CMP0131,Cheque,1,0
4137,1370,2024-09-09,15,CMP0007,Cheque,0,0
6051,1978,2024-04-06,200,CMP0140,Cash,0,0
8750,2862,2024-12-29,20,CMP0177,Card,0,0
5736,1882,2025-05-31,375.0,CMP0043,Standing Order,0,0
11409,3680,2019-09-18,20,CMP0138,Cash,0,0
2443,824,2025-03-06,5,CMP0026,Cheque,1,0
7464,2439,2024-01-05,50,CMP0177,Card,1,0
10317,3368,2021-08-25,375.0,CMP0001,Card,0,0
6583,2178,2025-06-20,50,CMP0192,Standing Order,1,0
3315,1110,2021-07-30,50,CMP0117,Cash,1,0
11728,3792,2024-06-20,30.0,CMP0164,Standing Order,1,0
2693,915,2026-01-28,250,CMP0179,Direct Debit,1,0
10804,3514,2023-09-25,10,CMP0179,Online,0,0
5341,1763,2023-01-13,20,CMP0055,Standing Order,1,0
6226,2049,2022-11-11,50,CMP0148,Direct Debit,0,0
1762,590,2024-05-06,10,CMP0044,Cash,0,0
8425,2750,2025-08-06,100,CMP0170,Direct Debit,1,0
10233,3342,2026-03-26,100,CMP0164,Direct Debit,0,0
11998,3899,2026-05-21,10,CMP0095,Cheque,1,0
9988,3267,2024-06-17,100,CMP0016,Standing Order,0,0
5724,1878,2022-08-03,75.0,CMP0051,Cheque,1,0
2184,733,2023-04-06,15,CMP0189,Card,1,0
11130,3599,2023-05-21,25,CMP0065,Cash,0,0
8032,2620,2022-09-29,375.0,CMP0191,Cheque,0,0
2229,744,2023-07-16,15,CMP0039,Cash,0,0
2797,955,2023-02-01,7.5,CMP0124,Cash,1,0
2729,933,2025-03-12,500,CMP0011,Online,0,0
6887,2258,2026-06-27,10,CMP0105,Card,0,0
1962,658,2024-09-01,25,CMP0012,Cheque,0,0
10727,3491,2025-11-15,100,CMP0009,Direct Debit,0,0
10422,3394,2026-06-27,75.0,CMP0022,Cheque,0,0
8403,2744,2024-12-11,37.5,CMP0006,Cheque,1,0
462,147,2023-03-14,25,CMP0143,Cheque,1,0
2121,704,2025-04-18,50,CMP0015,Cash,0,1
7431,2427,2022-06-15,10,CMP0185,Cheque,0,0
1603,543,2025-01-08,15.0,CMP0058,Direct Debit,1,0
1845,623,2020-01-26,150.0,CMP0157,Cash,1,0
11677,3765,2022-08-13,100,CMP0170,Cheque,1,0
7362,2400,2026-05-27,100,CMP0111,Card,0,0
11219,3627,2022-11-09,22.5,CMP0042,Standing Order,1,0
2374,812,2023-11-04,15,CMP0111,Cash,0,0
1505,506,2025-01-10,20,CMP0165,Online,1,0
2055,686,2023-12-03,200,CMP0110,Cash,1,0
5572,1834,2024-02-05,250,CMP0112,Standing Order,1,0
4750,1582,2018-07-29,15,CMP0041,Standing Order,0,0
5461,1799,2024-12-22,100,CMP0184,Online,1,0
9038,2949,2024-04-04,5,CMP0102,Standing Order,0,0
1535,518,2026-03-21,7.5,CMP0165,Standing Order,0,0
8341,2724,2024-01-01,250,CMP0185,Direct Debit,0,0
7600,2485,2025-08-12,5,CMP0160,Online,1,0
10732,3492,2024-03-11,10,CMP0079,Cash,0,0
1138,381,2024-04-23,40,CMP0062,Direct Debit,0,0
12329,4019,2025-09-08,37.5,CMP0143,Standing Order,1,0
4636,1549,2025-01-25,20,CMP0082,Cash,0,0
10639,3472,2026-03-02,50,CMP0066,Online,1,0
6483,2140,2024-10-22,10,CMP0071,Cash,1,0
9486,3097,2020-02-13,50,CMP0155,Card,1,0
2842,969,2020-06-02,15,CMP0149,Online,0,0
8059,2628,2024-02-05,375.0,CMP0087,Card,0,0
2320,790,2025-12-06,50,CMP0105,Online,1,0
11116,3595,2022-10-06,20,CMP0067,Cash,0,0
6965,2284,2023-11-04,10,CMP0104,Cheque,0,0
4642,1551,2026-07-24,50,CMP0178,Cheque,0,0
530,170,2025-01-05,5,CMP0108,Cheque,0,0
1054,349,2022-03-28,50,CMP0055,Cheque,0,0
7587,2481,2025-05-13,15,CMP0100,Standing Order,1,0
4793,1599,2025-08-08,100,CMP0031,Card,1,0
5773,1894,2025-03-27,15,CMP0050,Cheque,0,0
2478,838,2025-06-24,10,CMP0089,Direct Debit,1,0
12118,3945,2022-12-20,20,CMP0145,Direct Debit,1,0
6205,2042,2023-10-24,37.5,CMP0032,Direct Debit,1,0
10853,3526,2023-01-27,250,CMP0141,Cheque,0,0
5407,1787,2021-07-22,10,CMP0024,Cash,1,0
8514,2775,2018-09-15,40,CMP0124,Card,1,0
2369,810,2026-08-05,50,CMP0079,Standing Order,1,0
11426,3684,2024-03-16,15,CMP0140,Standing Order,0,0
9135,2980,2024-06-08,22.5,CMP0078,Online,0,0
5405,1787,2022-07-18,25,CMP0166,Card,1,0
1379,454,2022-11-15,150.0,CMP0129,Online,1,0
5412,1787,2024-09-23,250,CMP0115,Online,1,0
9914,3238,2024-12-02,375.0,CMP0128,Online,1,0
5127,1700,2020-09-04,100,CMP0165,Cheque,0,0
9006,2942,2026-01-13,15,CMP0006,Card,0,0
1337,438,2019-11-25,50,CMP0079,Direct Debit,1,0
9213,3006,2024-03-01,500,CMP0071,Direct Debit,1,0
1990,666,2023-01-09,40,CMP0190,Online,0,0
3099,1049,2019-07-01,5,CMP0105,Card,1,0
9054,2958,2021-10-11,10,CMP0058,Cheque,0,0
3549,1186,2020-02-12,25,CMP0104,Cash,1,0
9253,3020,2025-10-30,5,CMP0063,Online,1,0
3955,1328,2025-07-02,75.0,CMP0147,Cheque,1,0
831,276,2019-11-24,20,CMP0174,Standing Order,1,0
4093,1359,2024-12-27,20,CMP0168,Online,0,0
5612,1839,2019-06-14,50,CMP0065,Online,0,0
4719,1578,2025-09-09,10,CMP0179,Standing Order,0,1
7372,2405,2022-08-07,25,CMP0171,Online,1,0
8133,2650,2024-09-11,40,CMP0028,Card,0,0
10604,3459,2026-06-30,50,CMP0080,Card,1,0
12239,3982,2025-02-19,25,CMP0147,Cheque,0,0
522,165,2025-06-07,30.0,CMP0172,Direct Debit,0,0
3633,1218,2026-07-22,50,CMP0003,Online,1,0
8789,2871,2023-08-30,10,CMP0079,Online,1,0
4112,1364,2021-12-21,100,CMP0168,Cheque,0,0
1963,658,2020-10-14,22.5,CMP0167,Direct Debit,1,0
10566,3445,2026-02-12,50,CMP0038,Cheque,0,1
9170,2993,2025-12-26,10,CMP0089,Card,0,0
9048,2955,2024-09-07,500,CMP0161,Cash,0,0
4617,1543,2022-05-24,15.0,CMP0042,Cheque,0,0
7872,2569,2025-11-02,100,CMP0039,Online,1,0
4439,1473,2024-09-23,200,CMP0013,Online,0,0
11097,3590,2026-02-13,150.0,CMP0063,Direct Debit,0,0
7391,2412,2023-01-23,150.0,CMP0060,Cheque,0,0
8559,2788,2023-05-23,375.0,CMP0180,Online,0,0
7433,2427,2024-04-15,100,CMP0041,Cash,1,0
6496,2149,2025-09-02,25,CMP0166,Standing Order,0,0
10627,3464,2025-11-02,100,CMP0136,Direct Debit,1,0
8814,2876,2026-01-15,5,CMP0087,Online,0,0
8046,2625,2024-01-08,30.0,CMP0123,Cheque,0,0
734,236,2023-08-12,15.0,CMP0031,Online,1,0
3831,1285,2019-02-13,10,CMP0097,Standing Order,1,0
5775,1895,2021-06-27,22.5,CMP0035,Direct Debit,0,0
7053,2307,2022-04-04,5,CMP0060,Direct Debit,1,0
3702,1245,2026-01-31,7.5,CMP0061,Standing Order,1,0
641,201,2024-12-19,375.0,CMP0041,Online,1,0
2444,824,2021-09-11,15.0,CMP0175,Cash,0,0
10690,3484,2025-12-09,250,CMP0030,Standing Order,1,0
6117,1996,2022-12-04,40,CMP0076,Standing Order,0,0
4949,1641,2025-10-09,150.0,CMP0187,Cheque,1,0
11188,3621,2026-03-05,100,CMP0061,Cash,0,0
96,29,2024-02-13,100,CMP0019,Cash,1,0
12228,3980,2025-11-30,150.0,CMP0101,Cash,0,0
7503,2450,2025-01-08,100,CMP0128,Card,0,0
8135,2651,2026-04-13,500,CMP0008,Online,0,0
3330,1112,2021-07-21,100,CMP0140,Card,1,0
2231,747,2023-03-31,30,CMP0136,Cheque,0,0
4884,1627,2018-11-13,10,CMP0091,Online,0,0
9095,2964,2024-08-08,150.0,CMP0016,Direct Debit,0,0
11411,3680,2018-10-13,500,CMP0139,Cheque,0,0
5944,1944,2025-04-13,375.0,CMP0034,Direct Debit,1,0
868,288,2024-05-05,100,CMP0062,Card,1,0
1463,486,2024-02-16,50,CMP0095,Cash,0,0
1633,551,2023-02-28,22.5,CMP0134,Standing Order,1,0
3545,1185,2018-10-15,5,CMP0017,Card,0,0
3850,1288,2025-11-02,250,CMP0120,Card,1,0
7038,2305,2026-01-26,20,CMP0077,Cheque,0,0
6582,2176,2026-05-16,22.5,CMP0012,Online,1,0
6041,1975,2026-05-09,10,CMP0057,Direct Debit,1,0
10571,3447,2026-01-14,250,CMP0075,Cash,0,0
5652,1856,2025-03-14,50,CMP0102,Cash,1,0
3778,1265,2025-06-08,50,CMP0175,Cheque,0,0
414,136,2024-08-25,15,CMP0136,Standing Order,1,0
8489,2768,2023-06-27,100,CMP0109,Online,0,0
496,155,2024-04-12,150.0,CMP0100,Standing Order,0,0
376,123,2026-02-28,15,CMP0156,Online,0,0
73,24,2022-11-07,50,CMP0093,Cheque,1,0
11182,3619,2024-04-13,200,CMP0055,Online,0,0
1287,422,2026-03-25,25,CMP0180,Online,1,0
2982,1012,2026-05-19,150.0,CMP0102,Cash,1,0
3705,1246,2023-12-25,15,CMP0008,Standing Order,0,0
11113,3595,2024-02-07,15,CMP0167,Standing Order,0,0
1922,645,2024-03-08,15,CMP0107,Standing Order,0,0
8692,2838,2023-04-22,10,CMP0120,Standing Order,0,0
1036,343,2025-02-12,250,CMP0013,Standing Order,1,0
12322,4016,2022-09-10,22.5,CMP0010,Online,1,0
4909,1633,2021-01-03,10,CMP0156,Cash,0,0
11081,3587,2023-09-18,20,CMP0064,Online,0,0
9753,3185,2025-04-01,50,CMP0029,Online,1,0
9151,2984,2024-12-11,15.0,CMP0048,Cash,1,0
2515,852,2026-01-15,50,CMP0005,Card,0,0
9987,3267,2023-12-18,50,CMP0107,Card,1,0
2648,892,2025-12-03,15,CMP0061,Cash,0,0
407,135,2024-09-01,20,CMP0111,Card,1,0
9225,3011,2025-03-31,500,CMP0011,Online,1,0
6555,2167,2024-05-06,22.5,CMP0136,Cheque,0,0
9394,3065,2025-01-07,100,CMP0187,Card,0,0
10546,3440,2026-02-11,200,CMP0002,Cheque,0,0
6073,1987,2026-02-01,5,CMP0180,Card,1,0
51,17,2020-01-09,50,CMP0190,Online,1,0
11349,3661,2025-12-01,5,CMP0083,Cheque,0,0
1052,347,2018-04-10,15,CMP0039,Standing Order,0,0
11088,3589,2019-11-19,15.0,CMP0128,Cash,1,0
12144,3953,2023-11-18,15,CMP0073,Cash,1,0
12292,4003,2024-04-03,5,CMP0131,Online,0,0
5714,1873,2024-04-12,5,CMP0083,Direct Debit,1,0
2546,860,2025-04-01,100,CMP0047,Direct Debit,0,0
6711,2214,2025-01-11,100,CMP0091,Cheque,1,0
2385,814,2025-03-07,7.5,CMP0070,Card,0,0
8074,2632,2025-07-26,100,CMP0042,Cash,0,0
10914,3544,2024-06-19,100,CMP0115,Direct Debit,0,0
2632,887,2026-05-12,200,CMP0096,Cash,0,0
4787,1598,2024-09-28,250,CMP0123,Cash,0,0
135,40,2023-07-20,150.0,CMP0052,Cash,0,0
2540,858,2022-11-28,5,CMP0061,Cheque,0,0
2988,1016,2023-01-17,100,CMP0107,Cash,0,0
5188,1717,2024-08-27,50,CMP0150,Direct Debit,0,0
10175,3326,2017-04-12,5,CMP0169,Online,1,0
5793,1900,2019-07-31,30,CMP0154,Card,0,0
4317,1429,2025-07-22,25,CMP0186,Direct Debit,0,0
597,191,2026-01-19,50,CMP0023,Standing Order,0,0
510,159,2019-09-24,7.5,CMP0153,Online,0,0
8835,2890,2020-04-28,37.5,CMP0067,Online,0,0
10921,3545,2026-07-03,10,CMP0175,Card,0,0
7676,2507,2025-08-31,20,CMP0036,Cheque,1,0
8667,2829,2023-01-27,10,CMP0167,Card,0,0
6084,1989,2025-07-09,5,CMP0094,Cash,0,0
5921,1938,2020-03-08,15,CMP0098,Standing Order,0,0
9552,3119,2024-07-22,10,CMP0148,Standing Order,1,0
4410,1464,2021-05-05,20,CMP0085,Card,0,0
7228,2363,2021-06-22,37.5,CMP0171,Card,1,0
4967,1644,2025-10-26,15,CMP0192,Card,0,0
6722,2216,2025-05-17,50,CMP0051,Standing Order,0,0
7789,2546,2023-08-17,100,CMP0070,Card,1,0
38,11,2024-11-04,250,CMP0180,Cheque,0,0
7169,2343,2025-11-10,15,CMP0169,Online,0,0
9327,3046,2022-01-29,375.0,CMP0132,Cash,1,1
421,137,2025-10-25,50,CMP0186,Standing Order,1,0
12198,3967,2023-03-18,50,CMP0004,Standing Order,0,0
6458,2134,2022-09-06,25,CMP0092,Standing Order,1,0
10893,3541,2023-01-04,75.0,CMP0046,Direct Debit,1,0
11673,3765,2019-11-24,150.0,CMP0012,Card,1,0
5332,1761,2026-02-20,10,CMP0114,Cash,0,0
3930,1316,2024-02-16,50,CMP0161,Standing Order,0,0
2024,674,2021-06-13,250,CMP0174,Direct Debit,1,0
4263,1414,2026-08-12,5,CMP0168,Cheque,0,0
3535,1182,2021-06-29,15,CMP0009,Cash,0,0
5117,1695,2022-10-03,200,CMP0055,Online,1,0
7093,2319,2026-03-31,30.0,CMP0132,Standing Order,0,0
8354,2728,2025-12-29,50,CMP0154,Cash,0,0
3193,1074,2021-11-18,30,CMP0008,Card,1,0
7028,2301,2022-03-11,50,CMP0035,Card,1,0
3358,1125,2026-04-19,10,CMP0129,Direct Debit,0,0
8470,2762,2023-10-22,15,CMP0098,Cash,0,0
8504,2773,2025-01-18,10,CMP0145,Cash,1,0
10213,3338,2023-02-16,15,CMP0022,Card,0,1
9412,3070,2020-12-20,5,CMP0094,Cash,0,0
9661,3156,2020-10-19,22.5,CMP0093,Online,0,0
9384,3062,2025-05-31,250,CMP0168,Standing Order,0,0
3477,1162,2024-04-27,25,CMP0190,Standing Order,0,0
8145,2654,2024-05-16,30.0,CMP0067,Card,1,0
1187,390,2022-03-02,7.5,CMP0039,Online,1,0
11723,3788,2020-01-28,100,CMP0141,Cash,1,0
5763,1891,2026-04-14,5,CMP0050,Direct Debit,1,0
12047,3920,2026-07-07,150.0,CMP0065,Cash,0,0
4902,1631,2026-03-17,250,CMP0025,Cheque,1,0
11616,3740,2026-03-15,20,CMP0106,Cash,0,0
4882,1621,2023-09-16,10,CMP0089,Card,1,0
6763,2225,2025-03-05,25,CMP0142,Direct Debit,1,0
6730,2217,2025-07-20,50,CMP0111,Card,0,0
3198,1074,2022-11-29,200,CMP0068,Direct Debit,1,0
4345,1440,2024-06-16,20,CMP0088,Card,0,0
4648,1551,2024-11-06,100,CMP0107,Standing Order,1,0
11485,3708,2025-07-11,50,CMP0146,Cheque,1,0
9078,2962,2024-04-26,15,CMP0041,Online,1,0
3639,1220,2024-04-04,-50,CMP0027,Cash,0,0
3738,1251,2020-03-01,100,CMP0004,Cheque,1,0
4634,1547,2023-07-26,5,CMP0104,Cheque,1,0
5327,1761,2021-09-02,25,CMP0174,Cheque,0,0
11415,3682,2023-03-16,15,CMP0092,Standing Order,0,0
6539,2164,2019-07-30,5,CMP0099,Online,0,0
6279,2067,2025-04-24,15,CMP0052,Direct Debit,0,0
11321,3657,2025-09-06,250,CMP0157,Cheque,0,0
7771,2537,2024-09-20,25,CMP0104,Direct Debit,0,0
3363,1127,2020-09-25,37.5,CMP0036,Direct Debit,1,0
6150,2014,2022-01-29,20,CMP0006,Cash,0,0
7427,2427,2022-11-19,50,CMP0153,Direct Debit,1,1
11331,3659,2023-07-02,20,CMP0060,Online,1,0
11581,3730,2026-04-01,375.0,CMP0023,Direct Debit,1,0
5113,1695,2023-03-20,25,CMP0059,Direct Debit,1,0
1682,566,2019-08-17,25,CMP0139,Standing Order,1,0
2292,775,2020-03-14,50,CMP0173,Card,0,0
6790,2231,2025-03-24,500,CMP0054,Cheque,1,0
1909,640,2024-09-16,50,CMP0061,Online,1,0
3777,1265,2026-04-20,25,CMP0089,Card,1,0
1696,571,2024-10-24,20,CMP0167,Cheque,1,0
5410,1787,2024-09-29,10,CMP0085,Cash,0,0
5441,1793,2024-05-31,250,CMP0148,Cash,1,0
7190,2350,2022-02-12,5,CMP0081,Cheque,0,0
11650,3757,2023-05-10,25,CMP0174,Direct Debit,1,0
4575,1527,2023-05-19,25,CMP0010,Standing Order,0,0
7334,2391,2025-08-23,5,CMP0092,Online,1,0
3218,1083,2025-04-30,10,CMP0072,Direct Debit,0,0
10212,3338,2025-05-31,200,CMP0147,Standing Order,1,0
4033,1344,2026-05-03,25,CMP0047,Direct Debit,0,0
1598,539,2025-12-12,15.0,CMP0062,Cheque,1,0
1427,473,2023-07-01,30,CMP0030,Card,1,0
10244,3346,2023-05-14,5,CMP0033,Cheque,1,0
7229,2363,2023-04-09,40,CMP0008,Online,1,0
8300,2712,2025-02-10,75.0,CMP0072,Direct Debit,0,0
11104,3592,2022-06-30,75.0,CMP0171,Online,1,0
5494,1806,2023-03-22,50,CMP0177,Cash,1,0
4275,1415,2021-04-25,250,CMP0186,Cash,1,0
6519,2156,2025-02-25,50,CMP0058,Card,0,0
10014,3280,2022-09-06,50,CMP0158,Cheque,0,0
9575,3126,2026-06-26,20,CMP0108,Cash,0,0
7462,2439,2026-05-03,25,CMP0133,Online,1,0
4165,1380,2022-12-15,50,CMP0079,Cash,0,0
636,200,2025-01-23,100,CMP0036,Standing Order,1,0
4837,1606,2025-10-02,250,CMP0113,Cash,0,0
10989,3563,2024-07-25,100,CMP0114,Card,1,0
7429,2427,2024-04-11,100,CMP0062,Standing Order,0,0
2956,1005,2025-08-31,200,CMP0063,Card,0,0
36,11,2024-12-04,75.0,CMP0157,Standing Order,0,0
9403,3068,2023-08-29,20,CMP0074,Direct Debit,0,0
4226,1400,2024-05-22,250,CMP0052,Cheque,0,0
10798,3510,2021-01-28,10,CMP0095,Cash,0,0
3662,1227,2025-09-15,40,CMP0138,Card,0,0
4879,1620,2024-07-10,50,CMP0027,Online,1,0
7928,2582,2025-08-13,20,CMP0051,Online,0,0
685,214,2023-06-26,20,CMP0059,Cash,1,0
2614,883,2025-08-23,150.0,CMP0038,Direct Debit,0,0
10123,3316,2026-05-09,15,CMP0097,Card,0,0
7224,2362,2026-03-31,5,CMP0087,Standing Order,0,0
10629,3466,2026-03-28,30,CMP0189,Standing Order,0,0
9042,2953,2023-04-25,22.5,CMP0097,Direct Debit,0,0
9805,3199,2024-03-29,5,CMP0124,Online,0,0
6982,2289,2025-03-17,200,CMP0016,Online,0,0
5348,1766,2023-02-15,50,CMP0136,Cash,1,0
4194,1393,2025-06-18,30.0,CMP0067,Standing Order,1,0
4840,1607,2026-04-05,10,CMP0103,Standing Order,0,0
8468,2761,2024-10-26,40,CMP0085,Online,0,0
6835,2249,2025-10-08,100,CMP0117,Cash,0,0
9780,3194,2021-01-27,37.5,CMP0117,Cash,1,0
6554,2167,2021-03-28,20,CMP0094,Standing Order,0,0
182,52,2025-09-29,200,CMP0159,Online,0,0
3788,1269,2023-12-26,250,CMP0010,Direct Debit,1,0
8648,2824,2024-05-20,10,CMP0153,Cheque,0,0
3779,1265,2022-05-18,5,CMP0066,Card,1,0
3083,1044,2017-12-27,20,CMP0140,Online,0,0
336,106,2024-05-21,15,CMP0127,Cheque,0,0
11858,3852,2023-01-06,10,CMP0100,Online,0,0
3486,1164,2021-07-25,15,CMP0105,Cash,0,0
4324,1432,2019-01-19,100,CMP0135,Standing Order,0,0
5940,1944,2024-09-02,20,CMP0043,Online,1,0
3226,1085,2024-06-04,15,CMP0022,Online,1,1
963,321,2025-08-22,10,CMP0006,Card,0,0
3690,1239,2026-01-04,20,CMP0165,Cash,0,0
6014,1969,2018-10-14,25,CMP0069,Direct Debit,0,0
9515,3105,2024-11-05,20,CMP0093,Direct Debit,0,0
11888,3857,2026-07-17,30,CMP0172,Standing Order,1,0
374,120,2026-07-16,100,CMP0106,Cash,0,0
4774,1591,2024-03-10,25,CMP0095,Cheque,1,0
9399,3068,2024-04-04,200,CMP0114,Card,1,0
8491,2770,2024-01-22,20,CMP0134,Standing Order,0,0
4955,1643,2021-04-06,250,CMP0128,Standing Order,1,0
12218,3975,2022-11-11,20,CMP0112,Direct Debit,0,0
8622,2815,2022-01-31,5,CMP0023,Cheque,0,0
5463,1799,2022-07-09,25,CMP0071,Cash,1,0
4869,1617,2021-08-07,30,CMP0035,Cheque,0,0
184,52,2019-06-04,30.0,CMP0070,Cheque,1,0
10587,3454,2025-08-28,30,CMP0018,Card,1,0
7849,2561,2023-08-31,20,CMP0125,Direct Debit,0,0
4603,1534,2026-07-14,20,CMP0102,Cheque,1,0
6378,2104,2026-08-13,15.0,CMP0089,Cheque,0,0
684,214,2023-05-31,100,CMP0092,Cheque,1,0
2451,826,2026-03-14,100,CMP0109,Direct Debit,1,0
10256,3349,2025-03-26,20,CMP0164,Cash,1,0
6323,2085,2024-08-28,250,CMP0143,Direct Debit,1,0
7335,2391,2025-01-28,20,CMP0001,Card,0,0
1830,618,2026-03-24,15,CMP0038,Standing Order,1,0
4035,1346,2020-05-30,50,CMP0115,Online,1,0
4455,1479,2026-05-25,10,CMP0094,Card,0,0
2906,990,2023-03-07,250,CMP0097,Online,1,0
4529,1506,2026-07-05,25,CMP0113,Cheque,0,0
2416,818,2021-12-09,250,CMP0164,Cheque,0,0
917,306,2024-01-30,50,CMP0049,Cash,1,0
10557,3441,2022-02-05,50,CMP0099,Standing Order,0,0
6139,2003,2021-08-21,100,CMP0068,Direct Debit,0,0
11631,3744,2025-03-02,10,CMP0145,Online,1,0
3744,1253,2024-03-15,375.0,CMP0062,Cheque,1,0
4623,1544,2026-01-31,50,CMP0116,Cheque,1,0
2468,835,2020-09-09,15,CMP0078,Cash,1,0
12001,3899,2026-08-02,100,CMP0057,Cheque,0,0
11594,3734,2024-12-01,15,CMP0087,Direct Debit,1,0
2173,728,2023-11-07,25,CMP0096,Cheque,1,0
4300,1422,2025-02-16,500,CMP0122,Cash,1,0
11371,3669,2025-12-17,50,CMP0093,Card,0,0
9981,3265,2019-02-07,40,CMP0116,Card,0,0
1,1,2024-05-31,75.0,CMP0184,Cash,1,0
8329,2721,2022-12-04,50,CMP0073,Standing Order,0,0
