activity_id,campaign_code,supporter_id,sent_date,opened,clicked,unsubscribed
158,CMP0141,3238,2024-06-19,1,0,0
159,CMP0141,1943,2024-06-19,1,0,0
160,CMP0141,3594,2024-06-19,0,0,0
161,CMP0141,2421,2024-06-19,0,0,0
162,CMP0141,2817,2024-06-19,0,0,0
163,CMP0141,914,2024-06-19,0,0,0
164,CMP0141,603,2024-06-19,0,0,0
165,CMP0141,173,2024-06-19,0,0,0
166,CMP0141,477,2024-06-19,1,0,0
167,CMP0141,926,2024-06-19,0,0,0
168,CMP0141,2977,2024-06-19,0,0,0
169,CMP0141,3414,2024-06-19,0,0,0
170,CMP0141,807,2024-06-19,0,0,0
171,CMP0141,2997,2024-06-19,0,0,0
172,CMP0141,197,2024-06-19,1,0,0
173,CMP0141,3261,2024-06-19,0,0,0
174,CMP0141,1414,2024-06-19,0,0,0
175,CMP0141,1749,2024-06-19,0,0,0
176,CMP0141,2180,2024-06-19,0,0,0
177,CMP0141,3677,2024-06-19,1,0,0
178,CMP0141,2141,2024-06-19,1,0,0
179,CMP0141,3350,2024-06-19,0,0,0
180,CMP0141,1392,2024-06-19,0,0,0
181,CMP0141,837,2024-06-19,0,0,0
182,CMP0141,1949,2024-06-19,0,0,0
183,CMP0141,1975,2024-06-19,0,0,0
184,CMP0141,3415,2024-06-19,0,0,0
185,CMP0141,3386,2024-06-19,1,0,0
186,CMP0141,75,2024-06-19,0,0,0
187,CMP0141,1240,2024-06-19,0,0,0
188,CMP0141,1806,2024-06-19,0,0,0
189,CMP0141,1307,2024-06-19,0,0,0
190,CMP0141,2164,2024-06-19,1,0,0
191,CMP0141,1399,2024-06-19,0,0,0
192,CMP0141,1234,2024-06-19,0,0,0
193,CMP0141,227,2024-06-19,1,0,0
194,CMP0141,3579,2024-06-19,1,0,0
195,CMP0141,101,2024-06-19,0,0,0
196,CMP0141,3401,2024-06-19,1,0,0
197,CMP0141,815,2024-06-19,0,0,0
198,CMP0141,277,2024-06-19,1,0,0
199,CMP0141,193,2024-06-19,0,0,0
200,CMP0141,3431,2024-06-19,0,0,0
201,CMP0141,683,2024-06-19,0,0,0
202,CMP0141,964,2024-06-19,0,0,0
203,CMP0141,3585,2024-06-19,0,0,0
204,CMP0141,17,2024-06-19,1,0,0
205,CMP0141,1868,2024-06-19,1,0,0
206,CMP0141,301,2024-06-19,0,0,0
207,CMP0141,2509,2024-06-19,0,0,0
208,CMP0141,2199,2024-06-19,1,0,0
209,CMP0141,1963,2024-06-19,1,0,0
210,CMP0141,3146,2024-06-19,1,0,0
211,CMP0141,3711,2024-06-19,1,1,0
212,CMP0141,2140,2024-06-19,0,0,0
213,CMP0141,156,2024-06-19,0,0,0
214,CMP0141,999,2024-06-19,0,0,0
215,CMP0141,398,2024-06-19,0,0,0
216,CMP0141,2940,2024-06-19,0,0,0
217,CMP0141,2780,2024-06-19,1,0,0
218,CMP0141,2268,2024-06-19,1,0,0
219,CMP0141,1443,2024-06-19,1,0,0
220,CMP0141,3355,2024-06-19,0,0,0
221,CMP0141,3805,2024-06-19,1,0,0
222,CMP0141,1606,2024-06-19,0,0,0
223,CMP0141,1271,2024-06-19,0,0,0
224,CMP0141,3133,2024-06-19,0,0,0
225,CMP0141,725,2024-06-19,0,0,0
226,CMP0141,1883,2024-06-19,0,0,0
227,CMP0141,1494,2024-06-19,0,0,0
228,CMP0141,2292,2024-06-19,0,0,0
229,CMP0141,2320,2024-06-19,0,0,0
230,CMP0141,680,2024-06-19,1,1,0
231,CMP0141,2193,2024-06-19,0,0,0
232,CMP0141,2972,2024-06-19,0,0,0
233,CMP0141,1999,2024-06-19,0,0,0
234,CMP0141,2878,2024-06-19,0,0,0
235,CMP0141,3756,2024-06-19,1,0,0
236,CMP0141,1350,2024-06-19,1,0,0
237,CMP0141,3930,2024-06-19,1,0,0
238,CMP0141,3607,2024-06-19,0,0,0
239,CMP0141,576,2024-06-19,0,0,0
240,CMP0141,2962,2024-06-19,1,1,0
241,CMP0141,1665,2024-06-19,0,0,0
242,CMP0141,962,2024-06-19,1,0,0
243,CMP0141,3521,2024-06-19,0,0,0
244,CMP0141,2861,2024-06-19,0,0,0
245,CMP0141,137,2024-06-19,0,0,0
246,CMP0141,460,2024-06-19,1,0,0
247,CMP0141,3300,2024-06-19,1,0,0
248,CMP0141,1977,2024-06-19,0,0,0
249,CMP0141,1149,2024-06-19,0,0,0
250,CMP0141,3829,2024-06-19,0,0,0
251,CMP0141,1011,2024-06-19,0,0,0
252,CMP0141,657,2024-06-19,1,0,0
253,CMP0141,2992,2024-06-19,0,0,0
254,CMP0141,3229,2024-06-19,0,0,0
255,CMP0141,601,2024-06-19,0,0,0
256,CMP0141,3340,2024-06-19,1,1,0
257,CMP0141,2148,2024-06-19,1,0,0
258,CMP0141,2759,2024-06-19,0,0,0
259,CMP0141,1409,2024-06-19,1,0,0
260,CMP0141,1983,2024-06-19,0,0,0
261,CMP0141,1114,2024-06-19,0,0,0
262,CMP0141,3596,2024-06-19,0,0,0
263,CMP0141,2456,2024-06-19,0,0,0
264,CMP0141,281,2024-06-19,0,0,0
265,CMP0141,4005,2024-06-19,0,0,0
266,CMP0141,1183,2024-06-19,0,0,0
267,CMP0141,3184,2024-06-19,0,0,0
268,CMP0141,1672,2024-06-19,0,0,0
269,CMP0141,3275,2024-06-19,0,0,0
270,CMP0141,3185,2024-06-19,0,0,0
271,CMP0141,3443,2024-06-19,0,0,0
272,CMP0141,1479,2024-06-19,0,0,0
273,CMP0141,2548,2024-06-19,1,0,0
274,CMP0141,2855,2024-06-19,1,0,0
275,CMP0141,224,2024-06-19,1,0,0
276,CMP0141,439,2024-06-19,0,0,0
277,CMP0141,1450,2024-06-19,0,0,0
278,CMP0141,3981,2024-06-19,0,0,0
279,CMP0141,453,2024-06-19,0,0,0
280,CMP0141,2137,2024-06-19,0,0,0
281,CMP0141,2785,2024-06-19,0,0,0
282,CMP0141,2738,2024-06-19,0,0,0
283,CMP0141,2382,2024-06-19,0,0,0
284,CMP0141,3737,2024-06-19,0,0,0
285,CMP0141,2335,2024-06-19,1,0,0
286,CMP0141,3806,2024-06-19,0,0,0
287,CMP0141,3831,2024-06-19,1,1,0
288,CMP0141,1616,2024-06-19,1,0,0
289,CMP0141,1558,2024-06-19,0,0,0
290,CMP0141,2813,2024-06-19,0,0,0
291,CMP0141,2278,2024-06-19,0,0,0
292,CMP0141,1230,2024-06-19,0,0,0
293,CMP0141,1597,2024-06-19,0,0,0
294,CMP0141,2351,2024-06-19,1,0,0
295,CMP0141,4013,2024-06-19,1,1,0
296,CMP0141,1985,2024-06-19,0,0,0
297,CMP0141,653,2024-06-19,0,0,0
298,CMP0141,110,2024-06-19,0,0,0
299,CMP0141,543,2024-06-19,0,0,0
300,CMP0141,1304,2024-06-19,0,0,0
301,CMP0141,1372,2024-06-19,1,0,0
302,CMP0141,2265,2024-06-19,1,0,0
303,CMP0141,3420,2024-06-19,0,0,0
304,CMP0141,1925,2024-06-19,0,0,0
305,CMP0141,1266,2024-06-19,0,0,0
306,CMP0141,3496,2024-06-19,1,1,0
307,CMP0141,3715,2024-06-19,0,0,0
308,CMP0141,3832,2024-06-19,1,1,0
309,CMP0141,2685,2024-06-19,0,0,0
310,CMP0141,1655,2024-06-19,1,0,0
311,CMP0141,955,2024-06-19,0,0,0
312,CMP0141,1013,2024-06-19,0,0,0
313,CMP0141,1502,2024-06-19,0,0,0
314,CMP0141,1090,2024-06-19,0,0,0
315,CMP0141,2584,2024-06-19,0,0,0
316,CMP0141,2275,2024-06-19,1,0,0
317,CMP0141,2133,2024-06-19,0,0,0
318,CMP0141,472,2024-06-19,0,0,0
319,CMP0141,3128,2024-06-19,0,0,0
320,CMP0141,588,2024-06-19,0,0,0
321,CMP0141,2021,2024-06-19,0,0,0
322,CMP0141,1796,2024-06-19,1,0,0
323,CMP0141,3492,2024-06-19,1,0,0
324,CMP0141,2388,2024-06-19,0,0,0
325,CMP0141,2909,2024-06-19,0,0,0
326,CMP0141,369,2024-06-19,1,0,0
327,CMP0141,2949,2024-06-19,0,0,0
328,CMP0141,3052,2024-06-19,0,0,0
329,CMP0141,3436,2024-06-19,0,0,0
330,CMP0141,376,2024-06-19,0,0,0
331,CMP0141,2188,2024-06-19,1,0,0
332,CMP0141,3817,2024-06-19,0,0,0
333,CMP0141,2576,2024-06-19,0,0,0
334,CMP0141,1379,2024-06-19,0,0,0
335,CMP0141,2406,2024-06-19,0,0,0
336,CMP0141,3394,2024-06-19,0,0,0
337,CMP0141,2467,2024-06-19,0,0,0
338,CMP0141,513,2024-06-19,1,0,0
339,CMP0141,2877,2024-06-19,0,0,0
340,CMP0141,3773,2024-06-19,0,0,0
341,CMP0141,283,2024-06-19,0,0,0
342,CMP0141,3800,2024-06-19,1,0,0
343,CMP0141,2525,2024-06-19,1,0,0
344,CMP0141,1273,2024-06-19,0,0,0
345,CMP0141,3576,2024-06-19,0,0,0
346,CMP0141,2173,2024-06-19,1,0,0
347,CMP0141,3547,2024-06-19,0,0,0
348,CMP0141,1844,2024-06-19,0,0,0
349,CMP0141,469,2024-06-19,1,0,0
350,CMP0141,1096,2024-06-19,0,0,0
351,CMP0141,628,2024-06-19,0,0,1
352,CMP0141,3326,2024-06-19,0,0,0
353,CMP0141,3269,2024-06-19,0,0,0
354,CMP0141,1526,2024-06-19,0,0,0
355,CMP0141,3727,2024-06-19,1,0,0
356,CMP0141,2931,2024-06-19,0,0,0
357,CMP0141,1200,2024-06-19,0,0,0
358,CMP0141,2326,2024-06-19,0,0,0
359,CMP0141,2803,2024-06-19,0,0,0
360,CMP0141,186,2024-06-19,0,0,0
361,CMP0141,1129,2024-06-19,1,1,0
362,CMP0141,1721,2024-06-19,1,0,0
363,CMP0141,645,2024-06-19,0,0,0
364,CMP0141,2957,2024-06-19,0,0,0
365,CMP0141,35,2024-06-19,1,0,0
366,CMP0141,1035,2024-06-19,0,0,0
367,CMP0141,323,2024-06-19,0,0,0
368,CMP0141,3641,2024-06-19,1,0,0
369,CMP0141,2757,2024-06-19,0,0,0
370,CMP0141,2007,2024-06-19,0,0,0
371,CMP0141,3230,2024-06-19,0,0,0
372,CMP0141,3151,2024-06-19,1,0,0
373,CMP0141,3191,2024-06-19,0,0,0
374,CMP0141,618,2024-06-19,0,0,0
375,CMP0141,1951,2024-06-19,1,0,0
376,CMP0141,2586,2024-06-19,1,0,0
377,CMP0141,2636,2024-06-19,1,0,0
378,CMP0141,1583,2024-06-19,1,0,0
379,CMP0141,2566,2024-06-19,0,0,0
380,CMP0141,314,2024-06-19,0,0,0
381,CMP0141,443,2024-06-19,1,0,1
382,CMP0141,3614,2024-06-19,0,0,0
383,CMP0141,2488,2024-06-19,0,0,0
384,CMP0141,3228,2024-06-19,1,0,0
385,CMP0141,3705,2024-06-19,0,0,0
386,CMP0141,3442,2024-06-19,0,0,0
387,CMP0141,572,2024-06-19,0,0,0
388,CMP0141,3001,2024-06-19,1,0,0
389,CMP0141,997,2024-06-19,0,0,0
390,CMP0141,2830,2024-06-19,0,0,0
391,CMP0141,2384,2024-06-19,0,0,0
392,CMP0141,3497,2024-06-19,0,0,0
393,CMP0141,3068,2024-06-19,0,0,0
394,CMP0141,943,2024-06-19,0,0,0
395,CMP0141,2139,2024-06-19,0,0,0
396,CMP0141,3042,2024-06-19,0,0,0
397,CMP0141,1759,2024-06-19,0,0,0
398,CMP0141,5,2024-06-19,1,1,0
399,CMP0141,1530,2024-06-19,0,0,0
400,CMP0141,3007,2024-06-19,0,0,0
401,CMP0141,2340,2024-06-19,0,0,0
402,CMP0141,1787,2024-06-19,0,0,0
403,CMP0141,352,2024-06-19,0,0,0
404,CMP0141,743,2024-06-19,0,0,0
405,CMP0141,165,2024-06-19,0,0,0
406,CMP0141,2329,2024-06-19,0,0,0
407,CMP0141,430,2024-06-19,0,0,0
408,CMP0141,3842,2024-06-19,0,0,0
409,CMP0141,3106,2024-06-19,0,0,0
410,CMP0141,2397,2024-06-19,1,0,0
411,CMP0141,2088,2024-06-19,0,0,0
412,CMP0141,264,2024-06-19,0,0,0
413,CMP0141,2270,2024-06-19,1,0,0
414,CMP0141,2710,2024-06-19,0,0,0
415,CMP0141,1676,2024-06-19,1,0,0
416,CMP0141,1382,2024-06-19,1,0,0
417,CMP0141,1644,2024-06-19,1,0,0
418,CMP0141,3114,2024-06-19,0,0,0
419,CMP0141,3604,2024-06-19,0,0,0
420,CMP0141,741,2024-06-19,0,0,0
421,CMP0141,673,2024-06-19,0,0,0
422,CMP0141,2656,2024-06-19,0,0,0
423,CMP0141,623,2024-06-19,0,0,0
424,CMP0141,2130,2024-06-19,0,0,0
425,CMP0141,1556,2024-06-19,0,0,0
426,CMP0141,1481,2024-06-19,1,0,0
427,CMP0141,3434,2024-06-19,0,0,0
428,CMP0141,1243,2024-06-19,1,0,0
429,CMP0141,3794,2024-06-19,1,1,1
430,CMP0141,2492,2024-06-19,1,0,0
431,CMP0141,3135,2024-06-19,0,0,0
432,CMP0141,2756,2024-06-19,0,0,0
433,CMP0141,602,2024-06-19,0,0,0
434,CMP0141,1741,2024-06-19,0,0,0
435,CMP0141,3107,2024-06-19,0,0,0
436,CMP0141,692,2024-06-19,0,0,0
437,CMP0141,1142,2024-06-19,0,0,0
438,CMP0141,3214,2024-06-19,1,0,0
439,CMP0141,1358,2024-06-19,1,1,0
440,CMP0141,2788,2024-06-19,0,0,0
441,CMP0141,161,2024-06-19,0,0,0
442,CMP0141,2697,2024-06-19,0,0,0
443,CMP0141,775,2024-06-19,1,1,0
444,CMP0141,1636,2024-06-19,0,0,0
445,CMP0141,1155,2024-06-19,0,0,0
446,CMP0141,2227,2024-06-19,0,0,0
447,CMP0141,1693,2024-06-19,1,1,0
448,CMP0141,3903,2024-06-19,1,0,0
449,CMP0141,1885,2024-06-19,0,0,0
450,CMP0141,76,2024-06-19,0,0,0
451,CMP0141,2867,2024-06-19,0,0,0
452,CMP0141,3168,2024-06-19,0,0,0
453,CMP0141,16,2024-06-19,1,1,0
454,CMP0141,297,2024-06-19,0,0,0
455,CMP0141,2894,2024-06-19,0,0,0
456,CMP0141,970,2024-06-19,1,1,0
457,CMP0141,566,2024-06-19,1,1,0
458,CMP0141,3882,2024-06-19,1,0,0
459,CMP0141,2057,2024-06-19,1,0,0
460,CMP0141,573,2024-06-19,0,0,0
461,CMP0141,32,2024-06-19,0,0,0
462,CMP0141,489,2024-06-19,0,0,0
463,CMP0141,2520,2024-06-19,0,0,0
464,CMP0141,2244,2024-06-19,1,0,0
465,CMP0141,2486,2024-06-19,0,0,0
466,CMP0141,927,2024-06-19,1,1,0
467,CMP0141,1739,2024-06-19,1,0,0
468,CMP0141,3046,2024-06-19,0,0,0
469,CMP0141,535,2024-06-19,1,1,0
470,CMP0141,1168,2024-06-19,0,0,0
471,CMP0141,164,2024-06-19,0,0,1
472,CMP0141,1907,2024-06-19,0,0,0
473,CMP0141,3172,2024-06-19,0,0,0
474,CMP0141,2070,2024-06-19,0,0,0
475,CMP0141,1360,2024-06-19,0,0,0
476,CMP0141,1198,2024-06-19,0,0,0
477,CMP0141,2235,2024-06-19,0,0,0
478,CMP0141,2256,2024-06-19,1,0,0
479,CMP0141,3542,2024-06-19,1,0,0
480,CMP0141,492,2024-06-19,1,0,0
481,CMP0141,3094,2024-06-19,0,0,0
482,CMP0141,3648,2024-06-19,1,1,0
483,CMP0141,10,2024-06-19,0,0,0
484,CMP0141,171,2024-06-19,1,0,0
485,CMP0141,1233,2024-06-19,0,0,0
486,CMP0141,965,2024-06-19,0,0,0
487,CMP0141,1960,2024-06-19,0,0,0
488,CMP0141,2294,2024-06-19,0,0,0
489,CMP0141,944,2024-06-19,0,0,0
490,CMP0141,418,2024-06-19,1,0,0
491,CMP0141,243,2024-06-19,1,0,0
492,CMP0141,724,2024-06-19,0,0,0
493,CMP0141,2948,2024-06-19,0,0,0
494,CMP0141,2106,2024-06-19,1,0,0
495,CMP0141,1140,2024-06-19,1,0,0
496,CMP0141,1936,2024-06-19,0,0,0
497,CMP0141,3498,2024-06-19,0,0,0
498,CMP0141,2424,2024-06-19,1,0,0
499,CMP0141,1872,2024-06-19,1,0,0
500,CMP0141,411,2024-06-19,1,1,0
501,CMP0141,3317,2024-06-19,0,0,0
502,CMP0141,1775,2024-06-19,0,0,0
503,CMP0141,2489,2024-06-19,0,0,0
504,CMP0141,1581,2024-06-19,1,1,0
505,CMP0141,2073,2024-06-19,0,0,0
506,CMP0141,865,2024-06-19,0,0,0
507,CMP0141,3574,2024-06-19,1,0,0
508,CMP0141,3499,2024-06-19,0,0,0
509,CMP0141,2093,2024-06-19,0,0,0
510,CMP0141,752,2024-06-19,0,0,0
511,CMP0141,421,2024-06-19,0,0,0
512,CMP0141,1889,2024-06-19,0,0,0
513,CMP0141,3968,2024-06-19,1,0,0
514,CMP0141,1397,2024-06-19,0,0,0
515,CMP0141,1589,2024-06-19,0,0,0
516,CMP0141,2570,2024-06-19,1,0,0
517,CMP0141,3142,2024-06-19,0,0,0
518,CMP0141,3427,2024-06-19,1,0,0
519,CMP0141,1525,2024-06-19,0,0,0
520,CMP0141,1816,2024-06-19,1,0,0
521,CMP0141,2524,2024-06-19,0,0,0
522,CMP0141,1385,2024-06-19,0,0,0
523,CMP0141,1674,2024-06-19,1,0,0
524,CMP0141,1541,2024-06-19,0,0,0
525,CMP0141,3266,2024-06-19,0,0,0
526,CMP0141,3065,2024-06-19,0,0,0
527,CMP0141,2801,2024-06-19,0,0,0
528,CMP0141,3823,2024-06-19,0,0,0
529,CMP0141,954,2024-06-19,0,0,0
530,CMP0141,37,2024-06-19,0,0,0
531,CMP0141,3967,2024-06-19,1,0,0
532,CMP0141,3978,2024-06-19,0,0,0
533,CMP0141,246,2024-06-19,0,0,0
534,CMP0141,3787,2024-06-19,0,0,0
535,CMP0141,1433,2024-06-19,0,0,0
536,CMP0141,2487,2024-06-19,0,0,0
537,CMP0141,2620,2024-06-19,0,0,0
538,CMP0141,2109,2024-06-19,0,0,0
539,CMP0141,2839,2024-06-19,0,0,0
540,CMP0141,3577,2024-06-19,1,0,0
541,CMP0141,985,2024-06-19,0,0,0
542,CMP0141,3815,2024-06-19,1,0,0
543,CMP0141,3012,2024-06-19,1,0,0
544,CMP0141,2736,2024-06-19,1,0,0
545,CMP0141,3101,2024-06-19,0,0,0
546,CMP0141,3361,2024-06-19,1,0,0
547,CMP0141,1222,2024-06-19,0,0,0
548,CMP0141,2561,2024-06-19,0,0,0
549,CMP0141,2028,2024-06-19,0,0,0
550,CMP0141,1185,2024-06-19,0,0,0
551,CMP0141,1513,2024-06-19,1,0,0
552,CMP0141,3540,2024-06-19,0,0,0
553,CMP0141,3857,2024-06-19,1,0,0
554,CMP0141,1212,2024-06-19,1,0,0
555,CMP0141,749,2024-06-19,0,0,0
556,CMP0141,1795,2024-06-19,1,1,0
557,CMP0141,2331,2024-06-19,0,0,0
558,CMP0141,720,2024-06-19,1,1,0
559,CMP0141,1640,2024-06-19,1,1,0
560,CMP0141,436,2024-06-19,0,0,0
561,CMP0141,2964,2024-06-19,0,0,0
562,CMP0141,2001,2024-06-19,1,0,0
563,CMP0141,1910,2024-06-19,0,0,0
564,CMP0141,3718,2024-06-19,0,0,0
565,CMP0141,1609,2024-06-19,1,1,0
566,CMP0141,2444,2024-06-19,1,0,0
567,CMP0141,3708,2024-06-19,0,0,0
568,CMP0141,3405,2024-06-19,0,0,0
569,CMP0141,3424,2024-06-19,0,0,0
570,CMP0141,2499,2024-06-19,0,0,0
571,CMP0141,3788,2024-06-19,0,0,0
572,CMP0141,2037,2024-06-19,0,0,0
573,CMP0141,2127,2024-06-19,1,0,0
574,CMP0141,3518,2024-06-19,0,0,0
575,CMP0141,1429,2024-06-19,0,0,0
576,CMP0141,1633,2024-06-19,0,0,0
577,CMP0141,3664,2024-06-19,1,0,0
578,CMP0141,3793,2024-06-19,0,0,0
579,CMP0141,858,2024-06-19,1,0,0
580,CMP0141,111,2024-06-19,0,0,0
581,CMP0141,1110,2024-06-19,0,0,0
582,CMP0141,3726,2024-06-19,1,1,0
583,CMP0141,1451,2024-06-19,0,0,0
584,CMP0141,669,2024-06-19,1,0,0
585,CMP0141,1295,2024-06-19,1,0,0
586,CMP0141,1318,2024-06-19,0,0,0
