campaign_code,campaign_name,category_raw,channel,start_date,end_date,owner_team
CMP0179,Newsletter 2024 North,Newsletter,Social,2024-07-15,2024-08-30,Register Growth
CMP0029,spring appeal 2023 test,,Direct Mail,2023-02-02,2023-03-09,Register Growth
CMP0036,SPRING 2025 wave 2,spring appeal,Phone,2025-09-07,2025-10-03,Register Growth
CMP0028,Spring Campaign 2023,Spring Campaign,Social,2023-01-24,2023-02-03,Supporter Care
CMP0030,spring-appeal 2023 wave 2,spring appeal,Phone,2023-01-24,2023-02-23,Fundraising
CMP0122,LEGACY 2024 wave 2,LEGACY,Social,2024-08-21,2024-11-06,Marketing
CMP0143,Events 2025,Marathon,Direct Mail,2025-04-27,2025-05-30,Register Growth
CMP0037,spring appeal 2023 North,spring-appeal,Direct Mail,2023-05-07,2023-08-05,Register Growth
CMP0100,RG 2022 North,Regular Giving,Direct Mail,2022-11-25,2022-12-06,Fundraising
CMP0042,Spring Campaign 2025,SPRING,Direct Mail,2025-08-14,2025-10-12,Register Growth
CMP0134,event 2025,EVENTS,SMS,2025-06-27,2025-07-05,Register Growth
CMP0180,newsletter 2024 v2,newsletter,Direct Mail,2024-07-06,2024-08-01,Fundraising
CMP0154,CORP 2024 wave 2,Partnerships,Email,2024-02-06,2024-03-04,Fundraising
CMP0164,Corporate 2023 wave 2,CORP,Email,2023-08-05,2023-09-09,Fundraising
CMP0128,event 2023 v2,Events,SMS,2023-09-13,2023-12-05,Register Growth
CMP0182,Newsletter 2025 test,NEWS,Direct Mail,2025-09-03,2025-10-01,Register Growth
CMP0157,Partnerships 2023 North,Partnerships,Email,2023-09-17,2023-11-17,Supporter Care
CMP0022,Xmas 2025 test,Christmas appeal,SMS,2025-06-09,2025-07-03,Fundraising
CMP0061,Recruitment - donors 2026,Recruitment - donors,Phone,2026-02-25,2026-03-30,Register Growth
CMP0081,regular giving 2023,Regular Giving,Social,2023-10-04,2023-11-11,Marketing
CMP0091,Reg. Giving 2024,RG,Email,2024-01-18,2024-03-01,Supporter Care
CMP0082,Monthly giving 2022,monthly-givers,Direct Mail,2022-12-30,2023-02-25,Supporter Care
CMP0093,monthly-givers 2022,RG,Social,2022-12-31,2023-02-01,Marketing
CMP0063,Donor Recruitment 2024,,SMS,2024-04-08,2024-05-25,Fundraising
CMP0183,e-news 2023 North,e-news,Direct Mail,2023-08-20,2023-09-06,Fundraising
CMP0084,regular giving 2025,Reg. Giving,Phone,2025-07-09,2025-07-02,Marketing
CMP0158,corporate partnership 2024 test,corporate partnership,Social,2024-11-13,2024-11-21,Supporter Care
CMP0177,Newsletter 2025,NEWS,Direct Mail,2025-03-15,2025-05-18,Marketing
CMP0066,New donor drive 2023 test,New donor drive,SMS,2023-02-19,2023-04-19,Supporter Care
CMP0057,RECRUITMENT 2025 North,RECRUITMENT,Direct Mail,2025-10-06,2025-11-11,Supporter Care
CMP0002,Christmas Appeal 2024 2026 wave 2,Xmas Appeal,Social,2026-03-13,2026-05-05,Fundraising
CMP0107,LEGACY 2025 test,Gifts in Wills,Email,2025-07-16,2025-09-08,Marketing
CMP0109,Gifts in Wills 2024 wave 2,legacy giving,Email,2024-01-05,2024-03-30,Register Growth
CMP0160,Partnerships 2025 test,Corporate,Email,2025-07-05,2025-07-17,Marketing
CMP0151,Corporate 2023 wave 2,Partnerships,Direct Mail,2023-03-25,2023-06-12,Marketing
CMP0077,New donor drive 2026 North,Recruitment - donors,SMS,2026-03-05,2026-04-15,Supporter Care
CMP0005,Xmas 2025,Chirstmas appeal,Social,2025-11-10,2025-12-15,Marketing
CMP0051,Spring Appeal 2024 wave 2,Spring Appeal,Email,2024-12-03,2025-03-02,Register Growth
CMP0035,spring-appeal 2025 test,Spring Appeal,Email,2025-05-09,2025-06-30,Fundraising
CMP0112,legacy giving 2024 v2,wills,Social,2024-04-22,2024-05-13,Supporter Care
CMP0139,Events 2024,Challenge Events,Direct Mail,2024-01-06,2024-02-05,Register Growth
CMP0101,regular giving 2023 wave 2,monthly-givers,Direct Mail,2023-10-19,2023-11-09,Fundraising
CMP0136,EVENTS 2025 v2,Marathon,Direct Mail,2025-11-12,2025-11-27,Supporter Care
CMP0078,RG 2024 test,RG,Email,2024-06-21,2024-09-04,Supporter Care
CMP0092,regular giving 2023 North,Monthly giving,Phone,2023-04-11,2023-07-03,Register Growth
CMP0159,Corporate 2023 North,Partnerships,Social,2023-11-02,2024-01-24,Register Growth
CMP0006,christmas 2025 test,XMAS-APPEAL,Social,2025-10-03,2025-11-29,Supporter Care
CMP0124,event 2025 wave 2,EVENTS,Email,2025-11-13,2025-11-07,Supporter Care
CMP0113,Legacy 2025 wave 2,wills,Direct Mail,2025-05-18,2025-07-06,Register Growth
CMP0045,SPRING 2024,Spring Appeal,Email,2024-10-26,2025-01-20,Fundraising
CMP0020,Christmas appeal 2026 test,XMAS-APPEAL,Email,2026-03-26,2026-04-29,Supporter Care
CMP0149,Corporate 2024,CORP,Direct Mail,2024-04-05,2024-05-07,Supporter Care
CMP0130,Marathon 2026 v2,Challenge Events,Phone,2026-06-03,2026-07-04,Supporter Care
CMP0049,spring-appeal 2025 North,spring-appeal,Social,2025-05-27,2025-08-07,Fundraising
CMP0019,Chirstmas appeal 2023 test,christmas,Phone,2023-09-03,2023-11-03,Register Growth
